trial,framework,model,phase,build_pass,capped,outcome,acceptance,input,output,cache_write,cache_read,total_cost_usd,turns,wall_s,reads,edits,bash,mcp_docs,web,tasks,other_tools,files_changed,loc_js_added,loc_native_added,study,set,spec_version,loc_native_code_added,loc_native_config_added,loc_generated_added,first_turn_context,summary_usage_mismatch
main-lynx-4,lynx,claude-sonnet-5,2,true,false,phases-complete,pending,294,111714,309570,30887626,12.8010738,209,1637,70,10,95,3,0,0,3,9,184,241,ns-vs-lynx,main,v1.0.0,227,14,1,34833,false
main-lynx-4,lynx,claude-sonnet-5,3,true,false,phases-complete,pending,166,46301,230834,13509521,6.1336653,112,758,35,7,56,3,0,0,1,6,137,180,ns-vs-lynx,main,v1.0.0,178,2,0,34849,false
main-lynx-5,lynx,claude-sonnet-5,1,true,false,phases-complete,pending,2485,24710,111156,5161782,2.5943665999999994,76,377,18,10,39,1,0,0,2,12,173,0,ns-vs-lynx,main,v1.0.0,0,0,6,34804,false
main-lynx-5,lynx,claude-sonnet-5,2,true,false,phases-complete,pending,130,57221,192514,9829646,4.963456800000002,95,654,31,11,33,3,0,0,16,8,123,218,ns-vs-lynx,main,v1.0.0,204,14,1,34833,false
main-lynx-5,lynx,claude-sonnet-5,3,true,false,phases-complete,pending,224,64186,226791,15761830,7.863328349999999,149,1049,47,8,71,2,0,0,3,6,96,165,ns-vs-lynx,main,v1.0.0,161,4,0,34850,false
main-ns-1,ns,claude-sonnet-5,1,true,false,phases-complete,pending,73,11466,55190,2226468,1.1720153999999998,54,218,12,3,22,7,0,0,1,3,51,0,ns-vs-lynx,main,v1.0.0,0,0,0,34488,false
main-ns-1,ns,claude-sonnet-5,2,true,false,phases-complete,pending,183,51535,165126,11235934,5.1358692,124,1007,31,7,60,7,0,0,1,6,200,15,ns-vs-lynx,main,v1.0.0,0,15,0,34516,false
main-ns-1,ns,claude-sonnet-5,3,true,false,phases-complete,pending,60,15403,62800,2002497,1.2095310999999997,40,293,8,4,21,5,0,0,1,5,125,2,ns-vs-lynx,main,v1.0.0,0,2,0,34531,false
main-ns-2,ns,claude-sonnet-5,1,true,false,phases-complete,pending,66,8979,46594,1791982,0.9527576000000001,49,169,16,3,16,3,0,0,3,3,52,0,ns-vs-lynx,main,v1.0.0,0,0,0,34489,false
main-ns-2,ns,claude-sonnet-5,2,true,false,phases-complete,pending,122,53760,129138,6221451,3.4487932999999997,80,799,10,4,44,15,0,0,4,4,184,14,ns-vs-lynx,main,v1.0.0,0,14,0,34572,false
main-ns-2,ns,claude-sonnet-5,3,true,false,phases-complete,pending,42,14747,49403,1174642,0.8709086,33,172,8,3,16,4,0,0,1,4,103,2,ns-vs-lynx,main,v1.0.0,0,2,0,34530,false
main-ns-3,ns,claude-sonnet-5,1,true,false,phases-complete,pending,73,12932,63326,2399699,1.2947957,52,224,16,4,16,4,0,0,2,4,59,0,ns-vs-lynx,main,v1.0.0,0,0,0,34489,false
main-ns-3,ns,claude-sonnet-5,2,true,false,phases-complete,pending,242,59840,186640,15127434,6.557150199999999,152,972,32,8,80,10,0,0,1,5,169,15,ns-vs-lynx,main,v1.0.0,0,15,0,34572,false
main-ns-3,ns,claude-sonnet-5,3,true,false,phases-complete,pending,2304,12158,47841,1143858,0.8202524,33,153,9,3,20,0,0,0,0,4,99,2,ns-vs-lynx,main,v1.0.0,0,2,0,34530,false
main-ns-4,ns,claude-sonnet-5,1,true,false,phases-complete,pending,111,16571,76852,4029237,1.9194970999999994,77,421,17,5,37,7,0,0,1,3,58,0,ns-vs-lynx,main,v1.0.0,0,0,0,34488,false
main-ns-4,ns,claude-sonnet-5,2,true,false,phases-complete,pending,230,52794,169076,13398701,5.8537004999999995,147,884,31,10,72,13,0,0,2,6,203,13,ns-vs-lynx,main,v1.0.0,0,13,0,34515,false
main-ns-4,ns,claude-sonnet-5,3,true,false,phases-complete,pending,108,26538,128385,5219520,2.7352819999999993,71,487,17,9,29,7,0,0,2,5,135,3,ns-vs-lynx,main,v1.0.0,0,3,0,34530,false
main-ns-5,ns,claude-sonnet-5,1,true,false,phases-complete,pending,88,16198,73250,3134987,1.6239611,58,256,14,3,20,8,0,0,3,3,49,0,ns-vs-lynx,main,v1.0.0,0,0,0,34490,false
main-ns-5,ns,claude-sonnet-5,2,true,false,phases-complete,pending,80,47439,118168,3482965,2.4664814999999995,60,516,11,5,29,12,0,0,2,5,248,13,ns-vs-lynx,main,v1.0.0,0,13,0,34517,false
main-ns-5,ns,claude-sonnet-5,3,true,false,phases-complete,pending,58,18060,67472,1905181,1.2482172999999996,39,249,4,2,23,5,0,0,2,3,93,2,ns-vs-lynx,main,v1.0.0,0,2,0,34532,false
pilot-lynx-1,lynx,claude-sonnet-5,1,true,false,phases-complete,pending,106,22313,109756,4953723,2.4804568999999996,71,360,28,11,27,1,0,0,1,12,215,0,ns-vs-lynx,pilot,v1.0.0,0,0,0,34805,false
pilot-lynx-1,lynx,claude-sonnet-5,2,true,true,phases-complete,pending,160,67546,209907,11744999,5.797385700000001,81,931,28,8,64,3,0,0,3,7,151,174,ns-vs-lynx,pilot,v1.0.0,160,14,0,34830,false
pilot-lynx-1,lynx,claude-sonnet-5,3,true,true,phases-complete,pending,160,35701,160538,7830030,3.849024000000001,81,485,23,7,44,3,0,0,3,6,135,124,ns-vs-lynx,pilot,v1.0.0,122,2,0,34845,false
pilot-ns-1,ns,claude-sonnet-5,1,true,false,phases-complete,pending,78,13216,72850,2868211,1.4967682999999998,55,240,17,3,15,9,0,0,2,3,51,0,ns-vs-lynx,pilot,v1.0.0,0,0,0,34489,false
pilot-ns-1,ns,claude-sonnet-5,2,true,false,phases-complete,pending,152,36936,131736,7939802,3.7276166000000006,94,567,17,7,48,10,0,0,1,4,213,12,ns-vs-lynx,pilot,v1.0.0,0,12,0,34515,false
pilot-ns-1,ns,claude-sonnet-5,3,true,true,phases-complete,pending,160,30881,151094,8729714,4.017835199999998,81,606,32,3,50,2,2,0,4,3,140,2,ns-vs-lynx,pilot,v1.0.0,0,2,0,34530,false
